,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Gorgeous,0.8,0.535,7,-6.684,1,0.135,0.0713,9.48e-06,0.213,0.451,92.027,audio_features,1ZY1PqizIl78geGM4xWlEA,spotify:track:1ZY1PqizIl78geGM4xWlEA,https://api.spotify.com/v1/tracks/1ZY1PqizIl78geGM4xWlEA,https://api.spotify.com/v1/audio-analysis/1ZY1PqizIl78geGM4xWlEA,209680,4
Getaway Car,0.562,0.689,2,-6.745,1,0.127,0.00465,2.23e-06,0.0888,0.351,172.054,audio_features,0VE4kBnHJUgtMf0dy6DRmW,spotify:track:0VE4kBnHJUgtMf0dy6DRmW,https://api.spotify.com/v1/tracks/0VE4kBnHJUgtMf0dy6DRmW,https://api.spotify.com/v1/audio-analysis/0VE4kBnHJUgtMf0dy6DRmW,233627,4
King Of My Heart,0.675,0.703,0,-7.902,1,0.0382,0.00882,2.21e-06,0.0391,0.314,110.01,audio_features,7HuBDWi18s4aJM8UFnNheH,spotify:track:7HuBDWi18s4aJM8UFnNheH,https://api.spotify.com/v1/tracks/7HuBDWi18s4aJM8UFnNheH,https://api.spotify.com/v1/audio-analysis/7HuBDWi18s4aJM8UFnNheH,214320,4
Dancing With Our Hands Tied,0.624,0.691,0,-6.686,0,0.196,0.0604,1.1e-05,0.138,0.284,160.024,audio_features,7I7JbDv63ZJJsSi24DyJrz,spotify:track:7I7JbDv63ZJJsSi24DyJrz,https://api.spotify.com/v1/tracks/7I7JbDv63ZJJsSi24DyJrz,https://api.spotify.com/v1/audio-analysis/7I7JbDv63ZJJsSi24DyJrz,211507,4
Dress,0.719,0.469,0,-8.792,1,0.0533,0.0329,0.0,0.169,0.0851,120.085,audio_features,6oVxXO5oQ4pTpO8RSnkzvv,spotify:track:6oVxXO5oQ4pTpO8RSnkzvv,https://api.spotify.com/v1/tracks/6oVxXO5oQ4pTpO8RSnkzvv,https://api.spotify.com/v1/audio-analysis/6oVxXO5oQ4pTpO8RSnkzvv,230373,4
This Is Why We Can't Have Nice Things,0.567,0.789,5,-5.986,1,0.115,0.0156,0.0,0.382,0.438,163.96,audio_features,07NxDD1iKCHbAldceD7QLP,spotify:track:07NxDD1iKCHbAldceD7QLP,https://api.spotify.com/v1/tracks/07NxDD1iKCHbAldceD7QLP,https://api.spotify.com/v1/audio-analysis/07NxDD1iKCHbAldceD7QLP,207133,4
Call It What You Want,0.598,0.504,9,-9.874,1,0.0731,0.186,0.000221,0.34,0.252,163.954,audio_features,1GwMQaZz6Au3QLDbjbMdme,spotify:track:1GwMQaZz6Au3QLDbjbMdme,https://api.spotify.com/v1/tracks/1GwMQaZz6Au3QLDbjbMdme,https://api.spotify.com/v1/audio-analysis/1GwMQaZz6Au3QLDbjbMdme,203507,4
New Year’s Day,0.661,0.151,0,-12.864,1,0.0354,0.921,0.0,0.13,0.23,94.922,audio_features,7F5oktn5YOsR9eR5YsFtqb,spotify:track:7F5oktn5YOsR9eR5YsFtqb,https://api.spotify.com/v1/tracks/7F5oktn5YOsR9eR5YsFtqb,https://api.spotify.com/v1/audio-analysis/7F5oktn5YOsR9eR5YsFtqb,235467,4
All Too Well,0.602,0.609,0,-7.803,1,0.0243,0.0382,0.0002,0.127,0.337,93.06,audio_features,4XMP3zVxrnr58T0tjIHvpR,spotify:track:4XMP3zVxrnr58T0tjIHvpR,https://api.spotify.com/v1/tracks/4XMP3zVxrnr58T0tjIHvpR,https://api.spotify.com/v1/audio-analysis/4XMP3zVxrnr58T0tjIHvpR,327893,4
Wildest Dreams,0.554,0.666,8,-7.414,1,0.0747,0.0702,0.00593,0.106,0.472,140.056,audio_features,59HjlYCeBsxdI0fcm3zglw,spotify:track:59HjlYCeBsxdI0fcm3zglw,https://api.spotify.com/v1/tracks/59HjlYCeBsxdI0fcm3zglw,https://api.spotify.com/v1/audio-analysis/59HjlYCeBsxdI0fcm3zglw,220440,4
The Best Day,0.669,0.448,1,-8.566,1,0.0285,0.639,4.06e-06,0.158,0.383,126.068,audio_features,7APTsjmZbj7TFXQJAiRti4,spotify:track:7APTsjmZbj7TFXQJAiRti4,https://api.spotify.com/v1/tracks/7APTsjmZbj7TFXQJAiRti4,https://api.spotify.com/v1/audio-analysis/7APTsjmZbj7TFXQJAiRti4,246307,4
Red,0.602,0.896,1,-4.267,0,0.0437,0.0773,8.87e-05,0.091,0.641,124.978,audio_features,0cITLOYn1Sv4q27zZPqlNK,spotify:track:0cITLOYn1Sv4q27zZPqlNK,https://api.spotify.com/v1/tracks/0cITLOYn1Sv4q27zZPqlNK,https://api.spotify.com/v1/audio-analysis/0cITLOYn1Sv4q27zZPqlNK,220827,4
Holy Ground,0.627,0.816,4,-6.698,1,0.0774,0.0162,0.00208,0.0966,0.648,157.043,audio_features,1fGsZsIkQkOspfsT24nQP6,spotify:track:1fGsZsIkQkOspfsT24nQP6,https://api.spotify.com/v1/tracks/1fGsZsIkQkOspfsT24nQP6,https://api.spotify.com/v1/audio-analysis/1fGsZsIkQkOspfsT24nQP6,201853,4
Teardrops On My Guitar - Radio Single Remix,0.626,0.427,10,-6.993,1,0.0234,0.313,0.0,0.138,0.263,99.959,audio_features,7eGeUVeCEvEQrivmjl9Qn3,spotify:track:7eGeUVeCEvEQrivmjl9Qn3,https://api.spotify.com/v1/tracks/7eGeUVeCEvEQrivmjl9Qn3,https://api.spotify.com/v1/audio-analysis/7eGeUVeCEvEQrivmjl9Qn3,204707,4
Our Song,0.545,0.663,2,-5.05,1,0.0363,0.114,0.0,0.321,0.565,178.013,audio_features,7qGr3rjRhndRIpFUA5f2HJ,spotify:track:7qGr3rjRhndRIpFUA5f2HJ,https://api.spotify.com/v1/tracks/7qGr3rjRhndRIpFUA5f2HJ,https://api.spotify.com/v1/audio-analysis/7qGr3rjRhndRIpFUA5f2HJ,203440,4
22,0.658,0.729,7,-6.561,1,0.0378,0.00215,0.0013,0.0752,0.668,104.007,audio_features,2ULNeSomDxVNmdDy8VxEBU,spotify:track:2ULNeSomDxVNmdDy8VxEBU,https://api.spotify.com/v1/tracks/2ULNeSomDxVNmdDy8VxEBU,https://api.spotify.com/v1/audio-analysis/2ULNeSomDxVNmdDy8VxEBU,230133,4
I Knew You Were Trouble.,0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25e-06,0.0398,0.679,77.019,audio_features,72jCZdH0Lhg93z6Z4hBjgj,spotify:track:72jCZdH0Lhg93z6Z4hBjgj,https://api.spotify.com/v1/tracks/72jCZdH0Lhg93z6Z4hBjgj,https://api.spotify.com/v1/audio-analysis/72jCZdH0Lhg93z6Z4hBjgj,217973,4
I Don’t Wanna Live Forever (Fifty Shades Darker),0.731,0.445,0,-8.418,1,0.0533,0.0586,1.96e-05,0.14,0.106,117.97,audio_features,55n9yjI6qqXh5F2mYvUc2y,spotify:track:55n9yjI6qqXh5F2mYvUc2y,https://api.spotify.com/v1/tracks/55n9yjI6qqXh5F2mYvUc2y,https://api.spotify.com/v1/audio-analysis/55n9yjI6qqXh5F2mYvUc2y,247160,4
Mean,0.576,0.754,4,-3.982,1,0.0428,0.451,0.0,0.223,0.79,163.886,audio_features,5rcHBt2aNcGFWW0jaAUe1L,spotify:track:5rcHBt2aNcGFWW0jaAUe1L,https://api.spotify.com/v1/tracks/5rcHBt2aNcGFWW0jaAUe1L,https://api.spotify.com/v1/audio-analysis/5rcHBt2aNcGFWW0jaAUe1L,238693,4
How You Get The Girl,0.764,0.66,5,-6.136,1,0.0494,0.00461,0.00477,0.0915,0.524,119.988,audio_features,4dYUOfmWna6DFccnz732n8,spotify:track:4dYUOfmWna6DFccnz732n8,https://api.spotify.com/v1/tracks/4dYUOfmWna6DFccnz732n8,https://api.spotify.com/v1/audio-analysis/4dYUOfmWna6DFccnz732n8,247533,4
Fifteen,0.55,0.628,7,-4.437,1,0.0269,0.0717,0.0,0.138,0.211,95.122,audio_features,0H2UD0LfSCiRr59YMGlCuS,spotify:track:0H2UD0LfSCiRr59YMGlCuS,https://api.spotify.com/v1/tracks/0H2UD0LfSCiRr59YMGlCuS,https://api.spotify.com/v1/audio-analysis/0H2UD0LfSCiRr59YMGlCuS,295320,4
Mine,0.621,0.779,7,-2.943,1,0.0301,0.00302,3.22e-06,0.187,0.67,121.034,audio_features,6FmJKLpyCt42nP2IOVEVc2,spotify:track:6FmJKLpyCt42nP2IOVEVc2,https://api.spotify.com/v1/tracks/6FmJKLpyCt42nP2IOVEVc2,https://api.spotify.com/v1/audio-analysis/6FmJKLpyCt42nP2IOVEVc2,231867,4
Sparks Fly,0.61,0.782,5,-2.98,1,0.0309,0.041,0.0,0.16,0.399,114.977,audio_features,5h2sBwpUSAndjObfU3ti2r,spotify:track:5h2sBwpUSAndjObfU3ti2r,https://api.spotify.com/v1/tracks/5h2sBwpUSAndjObfU3ti2r,https://api.spotify.com/v1/audio-analysis/5h2sBwpUSAndjObfU3ti2r,262920,4
State Of Grace,0.588,0.825,4,-5.882,1,0.0328,0.000197,0.00138,0.0885,0.397,129.968,audio_features,786NsUYn4GGUf8AOt0SQhP,spotify:track:786NsUYn4GGUf8AOt0SQhP,https://api.spotify.com/v1/tracks/786NsUYn4GGUf8AOt0SQhP,https://api.spotify.com/v1/audio-analysis/786NsUYn4GGUf8AOt0SQhP,295187,4
Haunted,0.431,0.949,5,-2.622,1,0.0605,0.0648,0.0,0.0612,0.37,162.012,audio_features,6CB7DczrX9ZJB9Wkjegmaq,spotify:track:6CB7DczrX9ZJB9Wkjegmaq,https://api.spotify.com/v1/tracks/6CB7DczrX9ZJB9Wkjegmaq,https://api.spotify.com/v1/audio-analysis/6CB7DczrX9ZJB9Wkjegmaq,245413,4
Never Grow Up,0.714,0.309,2,-8.828,1,0.0302,0.824,0.0,0.136,0.545,124.894,audio_features,1UPDfqsVIZLEiZeMuUsni2,spotify:track:1UPDfqsVIZLEiZeMuUsni2,https://api.spotify.com/v1/tracks/1UPDfqsVIZLEiZeMuUsni2,https://api.spotify.com/v1/audio-analysis/1UPDfqsVIZLEiZeMuUsni2,292920,4
Treacherous,0.705,0.621,2,-8.086,1,0.0334,0.101,4.3e-06,0.147,0.395,109.993,audio_features,5kYFVSQoPu7yRpfiHBwMUk,spotify:track:5kYFVSQoPu7yRpfiHBwMUk,https://api.spotify.com/v1/tracks/5kYFVSQoPu7yRpfiHBwMUk,https://api.spotify.com/v1/audio-analysis/5kYFVSQoPu7yRpfiHBwMUk,240773,4
Welcome To New York,0.793,0.634,7,-4.807,1,0.0324,0.038,1.76e-06,0.304,0.615,117.024,audio_features,6qnM0XXPZOINWA778uNqQ9,spotify:track:6qnM0XXPZOINWA778uNqQ9,https://api.spotify.com/v1/tracks/6qnM0XXPZOINWA778uNqQ9,https://api.spotify.com/v1/audio-analysis/6qnM0XXPZOINWA778uNqQ9,212600,4
Blank Space,0.753,0.678,5,-5.421,1,0.0644,0.085,1.64e-06,0.13,0.583,96.006,audio_features,1p80LdxRV74UKvL8gnD7ky,spotify:track:1p80LdxRV74UKvL8gnD7ky,https://api.spotify.com/v1/tracks/1p80LdxRV74UKvL8gnD7ky,https://api.spotify.com/v1/audio-analysis/1p80LdxRV74UKvL8gnD7ky,231827,4
Style,0.598,0.786,2,-5.572,1,0.0383,0.00253,0.0016,0.117,0.456,95.019,audio_features,4lIxdJw6W3Fg4vUIYCB0S5,spotify:track:4lIxdJw6W3Fg4vUIYCB0S5,https://api.spotify.com/v1/tracks/4lIxdJw6W3Fg4vUIYCB0S5,https://api.spotify.com/v1/audio-analysis/4lIxdJw6W3Fg4vUIYCB0S5,231000,4
Out Of The Woods,0.552,0.842,7,-6.938,1,0.0373,0.00103,1.17e-05,0.337,0.343,91.991,audio_features,5OndtwLGA9O6XHFcGm2H7r,spotify:track:5OndtwLGA9O6XHFcGm2H7r,https://api.spotify.com/v1/tracks/5OndtwLGA9O6XHFcGm2H7r,https://api.spotify.com/v1/audio-analysis/5OndtwLGA9O6XHFcGm2H7r,235800,4
All You Had To Do Was Stay,0.602,0.736,5,-5.778,1,0.0338,0.00196,4.57e-05,0.105,0.471,96.969,audio_features,0dAb8TY433dl3ZfXYCLE19,spotify:track:0dAb8TY433dl3ZfXYCLE19,https://api.spotify.com/v1/tracks/0dAb8TY433dl3ZfXYCLE19,https://api.spotify.com/v1/audio-analysis/0dAb8TY433dl3ZfXYCLE19,193293,4
Shake It Off,0.647,0.785,7,-5.414,1,0.165,0.0561,0.0,0.148,0.943,160.015,audio_features,5xTtaWoae3wi06K5WfVUUH,spotify:track:5xTtaWoae3wi06K5WfVUUH,https://api.spotify.com/v1/tracks/5xTtaWoae3wi06K5WfVUUH,https://api.spotify.com/v1/audio-analysis/5xTtaWoae3wi06K5WfVUUH,219200,4
I Wish You Would,0.648,0.898,0,-5.963,1,0.0513,0.016,9.91e-05,0.109,0.502,118.02,audio_features,3wmN11qXGL0HyPojvEE1D9,spotify:track:3wmN11qXGL0HyPojvEE1D9,https://api.spotify.com/v1/tracks/3wmN11qXGL0HyPojvEE1D9,https://api.spotify.com/v1/audio-analysis/3wmN11qXGL0HyPojvEE1D9,207440,4
Bad Blood,0.65,0.802,7,-6.114,1,0.181,0.0871,6.54e-06,0.148,0.295,170.146,audio_features,273dCMFseLcVsoSWx59IoE,spotify:track:273dCMFseLcVsoSWx59IoE,https://api.spotify.com/v1/tracks/273dCMFseLcVsoSWx59IoE,https://api.spotify.com/v1/audio-analysis/273dCMFseLcVsoSWx59IoE,211933,4
This Love,0.475,0.459,4,-8.768,1,0.0333,0.635,0.0,0.101,0.0828,143.988,audio_features,3oKMl2tJv4fdidkXUYMI5x,spotify:track:3oKMl2tJv4fdidkXUYMI5x,https://api.spotify.com/v1/tracks/3oKMl2tJv4fdidkXUYMI5x,https://api.spotify.com/v1/audio-analysis/3oKMl2tJv4fdidkXUYMI5x,250093,4
I Know Places,0.596,0.763,0,-4.99,1,0.0661,0.231,0.0,0.2,0.507,159.958,audio_features,3jBMHD19RZdAqG9iFQh7xc,spotify:track:3jBMHD19RZdAqG9iFQh7xc,https://api.spotify.com/v1/tracks/3jBMHD19RZdAqG9iFQh7xc,https://api.spotify.com/v1/audio-analysis/3jBMHD19RZdAqG9iFQh7xc,195707,4
Clean,0.81,0.379,4,-7.771,1,0.0349,0.241,0.0,0.113,0.22,103.981,audio_features,06WgOCf0LV2h4keYXDRnuh,spotify:track:06WgOCf0LV2h4keYXDRnuh,https://api.spotify.com/v1/tracks/06WgOCf0LV2h4keYXDRnuh,https://api.spotify.com/v1/audio-analysis/06WgOCf0LV2h4keYXDRnuh,271000,4
Wonderland,0.422,0.692,3,-5.447,1,0.0549,0.0493,2.57e-05,0.177,0.197,184.014,audio_features,6iWMI5oOhWrDbLbjmwTWFq,spotify:track:6iWMI5oOhWrDbLbjmwTWFq,https://api.spotify.com/v1/tracks/6iWMI5oOhWrDbLbjmwTWFq,https://api.spotify.com/v1/audio-analysis/6iWMI5oOhWrDbLbjmwTWFq,245560,4
You Are In Love,0.474,0.48,2,-8.894,1,0.0622,0.707,0.000108,0.0903,0.319,170.109,audio_features,4A2LfnduSTsE8u0ecYROxE,spotify:track:4A2LfnduSTsE8u0ecYROxE,https://api.spotify.com/v1/tracks/4A2LfnduSTsE8u0ecYROxE,https://api.spotify.com/v1/audio-analysis/4A2LfnduSTsE8u0ecYROxE,267107,4
New Romantics,0.633,0.889,5,-5.87,1,0.0715,0.00463,0.000458,0.0658,0.584,121.956,audio_features,6rZVy6FIG7lSJQMFXHo12z,spotify:track:6rZVy6FIG7lSJQMFXHo12z,https://api.spotify.com/v1/tracks/6rZVy6FIG7lSJQMFXHo12z,https://api.spotify.com/v1/audio-analysis/6rZVy6FIG7lSJQMFXHo12z,230467,4
I Know Places - Voice Memo,0.592,0.128,9,-17.932,0,0.589,0.829,0.0,0.527,0.15,78.828,audio_features,4JQm7ebhsrt10wmrP6AfXL,spotify:track:4JQm7ebhsrt10wmrP6AfXL,https://api.spotify.com/v1/tracks/4JQm7ebhsrt10wmrP6AfXL,https://api.spotify.com/v1/audio-analysis/4JQm7ebhsrt10wmrP6AfXL,216333,4
I Wish You Would - Voice Memo,0.781,0.357,0,-16.394,1,0.912,0.717,0.0,0.185,0.645,118.317,audio_features,4TtyvyI42C0KFnbDZvNC8Y,spotify:track:4TtyvyI42C0KFnbDZvNC8Y,https://api.spotify.com/v1/tracks/4TtyvyI42C0KFnbDZvNC8Y,https://api.spotify.com/v1/audio-analysis/4TtyvyI42C0KFnbDZvNC8Y,107133,4
Blank Space - Voice Memo,0.675,0.234,5,-15.064,0,0.721,0.801,0.0,0.657,0.578,127.296,audio_features,0yisH8r0f3Mkq34kjzUlCV,spotify:track:0yisH8r0f3Mkq34kjzUlCV,https://api.spotify.com/v1/tracks/0yisH8r0f3Mkq34kjzUlCV,https://api.spotify.com/v1/audio-analysis/0yisH8r0f3Mkq34kjzUlCV,131187,4
I Almost Do,0.567,0.481,4,-7.357,1,0.027,0.0173,4.13e-05,0.182,0.233,145.865,audio_features,5VwFkx7JOimOGTYfha5rs1,spotify:track:5VwFkx7JOimOGTYfha5rs1,https://api.spotify.com/v1/tracks/5VwFkx7JOimOGTYfha5rs1,https://api.spotify.com/v1/audio-analysis/5VwFkx7JOimOGTYfha5rs1,242573,4
We Are Never Ever Getting Back Together,0.628,0.676,7,-5.911,1,0.0916,0.00957,2.65e-05,0.102,0.75,85.984,audio_features,7AEAGTc8cReDqcbPoY9gwo,spotify:track:7AEAGTc8cReDqcbPoY9gwo,https://api.spotify.com/v1/tracks/7AEAGTc8cReDqcbPoY9gwo,https://api.spotify.com/v1/audio-analysis/7AEAGTc8cReDqcbPoY9gwo,191880,4
Stay Stay Stay,0.729,0.748,0,-6.67,1,0.0245,0.307,1.29e-06,0.09,0.928,99.981,audio_features,1qLeEu4iXEclkLwoBlMiou,spotify:track:1qLeEu4iXEclkLwoBlMiou,https://api.spotify.com/v1/tracks/1qLeEu4iXEclkLwoBlMiou,https://api.spotify.com/v1/audio-analysis/1qLeEu4iXEclkLwoBlMiou,204827,4
The Last Time,0.505,0.443,2,-7.039,1,0.0276,0.035,3.15e-06,0.0921,0.123,94.069,audio_features,3n9mzjgAzjyKawvbHzciXF,spotify:track:3n9mzjgAzjyKawvbHzciXF,https://api.spotify.com/v1/tracks/3n9mzjgAzjyKawvbHzciXF,https://api.spotify.com/v1/audio-analysis/3n9mzjgAzjyKawvbHzciXF,298293,4
Sad Beautiful Tragic,0.624,0.34,7,-12.411,1,0.029,0.632,0.0337,0.121,0.261,129.987,audio_features,6LKjHhOW1az75pCQ9XJJtF,spotify:track:6LKjHhOW1az75pCQ9XJJtF,https://api.spotify.com/v1/tracks/6LKjHhOW1az75pCQ9XJJtF,https://api.spotify.com/v1/audio-analysis/6LKjHhOW1az75pCQ9XJJtF,283680,3
The Lucky One,0.706,0.499,4,-7.675,1,0.0369,0.0371,0.0,0.132,0.545,117.937,audio_features,2X2J0BhxaLTmnxO4pPUhSd,spotify:track:2X2J0BhxaLTmnxO4pPUhSd,https://api.spotify.com/v1/tracks/2X2J0BhxaLTmnxO4pPUhSd,https://api.spotify.com/v1/audio-analysis/2X2J0BhxaLTmnxO4pPUhSd,240133,4
Everything Has Changed,0.624,0.458,6,-6.755,1,0.0287,0.36,3.89e-06,0.303,0.436,80.017,audio_features,4NAmRvqSITAAzKWnC8yRq3,spotify:track:4NAmRvqSITAAzKWnC8yRq3,https://api.spotify.com/v1/tracks/4NAmRvqSITAAzKWnC8yRq3,https://api.spotify.com/v1/audio-analysis/4NAmRvqSITAAzKWnC8yRq3,243933,4
Starlight,0.649,0.777,9,-5.804,1,0.0406,0.0213,0.000335,0.221,0.587,126.018,audio_features,7MecVsMj22MneZt7kVFaCr,spotify:track:7MecVsMj22MneZt7kVFaCr,https://api.spotify.com/v1/tracks/7MecVsMj22MneZt7kVFaCr,https://api.spotify.com/v1/audio-analysis/7MecVsMj22MneZt7kVFaCr,217827,4
Begin Again,0.53,0.526,7,-8.349,1,0.0263,0.199,3.52e-06,0.232,0.323,79.025,audio_features,0L4YCNRfXAoTvdpWeH2RGj,spotify:track:0L4YCNRfXAoTvdpWeH2RGj,https://api.spotify.com/v1/tracks/0L4YCNRfXAoTvdpWeH2RGj,https://api.spotify.com/v1/audio-analysis/0L4YCNRfXAoTvdpWeH2RGj,237613,4
The Moment I Knew,0.62,0.506,7,-7.327,1,0.0312,0.187,1.47e-05,0.102,0.275,126.015,audio_features,5AsmAjBSSQjRPWgAYIp8tm,spotify:track:5AsmAjBSSQjRPWgAYIp8tm,https://api.spotify.com/v1/tracks/5AsmAjBSSQjRPWgAYIp8tm,https://api.spotify.com/v1/audio-analysis/5AsmAjBSSQjRPWgAYIp8tm,285560,4
Come Back...Be Here,0.483,0.548,4,-6.291,1,0.0254,0.00471,2.01e-06,0.0997,0.217,79.926,audio_features,4qyalTRMRH5YuEntvvMvq0,spotify:track:4qyalTRMRH5YuEntvvMvq0,https://api.spotify.com/v1/tracks/4qyalTRMRH5YuEntvvMvq0,https://api.spotify.com/v1/audio-analysis/4qyalTRMRH5YuEntvvMvq0,222707,4
Girl At Home,0.733,0.59,5,-5.86,1,0.0284,0.272,0.0,0.136,0.633,125.048,audio_features,6cf6rLb8qcklvJv90W6HCW,spotify:track:6cf6rLb8qcklvJv90W6HCW,https://api.spotify.com/v1/tracks/6cf6rLb8qcklvJv90W6HCW,https://api.spotify.com/v1/audio-analysis/6cf6rLb8qcklvJv90W6HCW,220320,4
Treacherous - Original Demo Recording,0.828,0.64,2,-8.248,1,0.0355,0.175,6.14e-05,0.0996,0.519,109.993,audio_features,7BT9K9BDqq6HI2oWH5UMZQ,spotify:track:7BT9K9BDqq6HI2oWH5UMZQ,https://api.spotify.com/v1/tracks/7BT9K9BDqq6HI2oWH5UMZQ,https://api.spotify.com/v1/audio-analysis/7BT9K9BDqq6HI2oWH5UMZQ,239720,4
